               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043586,            0.029994,            0.039921,             0.32324,             0.63512,             0.46286,             0.31878,             0.03899,            0.015096,            0.045116,           0.0039317,           0.0039317,            0.063332
                  37,            0.040793,            0.028706,            0.036735,             0.40571,             0.60635,             0.53235,             0.33563,            0.040465,            0.015561,            0.041775,           0.0040309,           0.0040309,            0.062331
                  38,            0.041896,             0.03182,            0.036375,             0.43377,             0.60941,             0.57486,             0.37689,            0.036629,            0.015143,            0.039344,           0.0041295,           0.0041295,             0.06133
                  39,            0.041295,            0.027578,            0.033391,             0.48798,             0.58908,             0.53745,             0.30764,            0.041983,            0.015632,             0.03926,           0.0042275,           0.0042275,            0.060328
                  40,            0.042625,            0.031575,            0.033499,             0.46108,             0.69911,             0.63193,             0.38297,            0.038515,            0.015464,            0.037032,           0.0043249,           0.0043249,            0.059325
                  41,            0.043481,            0.030398,             0.03258,               0.521,             0.66488,             0.65824,             0.40159,            0.040006,            0.015864,            0.035311,           0.0044217,           0.0044217,            0.058322
                  42,             0.03951,            0.028105,            0.028663,             0.51429,             0.76769,             0.64777,             0.41657,            0.040312,            0.015745,            0.036228,           0.0045179,           0.0045179,            0.057318
                  43,            0.041728,             0.02788,            0.028817,             0.51626,             0.73694,             0.66004,             0.41315,            0.041803,            0.015663,            0.034314,           0.0046133,           0.0046133,            0.056313
                  44,            0.042258,            0.029781,             0.02759,             0.58851,             0.72139,             0.68845,              0.4352,            0.036569,            0.015138,            0.032767,           0.0047082,           0.0047082,            0.055308
                  45,            0.044971,            0.028886,            0.026023,             0.48698,             0.67848,             0.62306,             0.28983,            0.046059,            0.015405,            0.030891,           0.0048023,           0.0048023,            0.054302
                  46,            0.049959,            0.028878,            0.023657,             0.54386,             0.72105,             0.67884,             0.33562,            0.051604,            0.015753,            0.030703,           0.0048958,           0.0048958,            0.053296
                  47,            0.045721,            0.027985,            0.024717,             0.65922,             0.69809,             0.73143,             0.47622,            0.040276,            0.015275,            0.031755,           0.0049885,           0.0049885,            0.052289
                  48,            0.048698,            0.028423,             0.02371,             0.65923,             0.59079,             0.61777,             0.34034,            0.046747,            0.016031,            0.030951,           0.0050805,           0.0050805,            0.051281
                  49,            0.045934,            0.029137,            0.021085,             0.59154,             0.68431,             0.61914,             0.38035,            0.043865,            0.015783,            0.030004,           0.0051718,           0.0051718,            0.050272
                  50,             0.04493,            0.027568,            0.021053,             0.62614,             0.66208,             0.69693,              0.3936,            0.041734,            0.015929,            0.030791,           0.0052624,           0.0052624,            0.049262
                  51,            0.046965,            0.029773,              0.0202,             0.59183,             0.70937,             0.70486,             0.39658,            0.043312,            0.015461,            0.029525,           0.0053522,           0.0053522,            0.048252
                  52,            0.043518,            0.028789,            0.020146,             0.65435,             0.64767,             0.70379,             0.38944,             0.04534,            0.014876,            0.027583,           0.0054412,           0.0054412,            0.047241
                  53,            0.048256,             0.02933,             0.01835,             0.56336,             0.70114,             0.67179,             0.39194,            0.047276,            0.015188,            0.029734,           0.0055294,           0.0055294,            0.046229
                  54,            0.041186,            0.024923,            0.016839,             0.68152,             0.72218,             0.75292,             0.45603,            0.038819,            0.015471,            0.032178,           0.0056169,           0.0056169,            0.045217
                  55,            0.041276,            0.026746,            0.017877,             0.49956,             0.74778,              0.6575,             0.39792,            0.043026,             0.01508,            0.028862,           0.0057035,           0.0057035,            0.044204
                  56,             0.04154,             0.02499,            0.018901,             0.64354,             0.70801,              0.7205,              0.4387,            0.041741,            0.015405,            0.028903,           0.0057893,           0.0057893,            0.043189
                  57,            0.042184,            0.025679,            0.015563,             0.74754,             0.64102,             0.71354,             0.44676,            0.040175,            0.015885,            0.027514,           0.0058743,           0.0058743,            0.042174
                  58,            0.042963,            0.029535,            0.015709,             0.70754,             0.69279,             0.76846,              0.4101,            0.043538,            0.015619,            0.026196,           0.0059585,           0.0059585,            0.041158
                  59,            0.044482,             0.02459,            0.014002,             0.76157,             0.64426,             0.77737,             0.49823,            0.042304,             0.01513,            0.025272,           0.0060418,           0.0060418,            0.040142
                  60,            0.042929,            0.023618,            0.015078,             0.68742,             0.76095,             0.79721,             0.51928,            0.041005,            0.014598,            0.024913,           0.0061242,           0.0061242,            0.039124
                  61,            0.041369,            0.026132,            0.014722,             0.67303,             0.73836,             0.76463,             0.43746,            0.043086,            0.015325,            0.023783,           0.0062057,           0.0062057,            0.038106
                  62,            0.038859,             0.02435,             0.01335,             0.76086,             0.73366,             0.78276,             0.52372,            0.039043,            0.015528,            0.024178,           0.0062864,           0.0062864,            0.037086
                  63,            0.040083,            0.026319,            0.014568,             0.70789,             0.72276,              0.7577,             0.50282,            0.042605,             0.01529,            0.021618,           0.0063662,           0.0063662,            0.036066
                  64,            0.040838,              0.0271,             0.01211,             0.79107,              0.6968,             0.77745,              0.4604,            0.041777,            0.014993,            0.022179,            0.006445,            0.006445,            0.035045
                  65,             0.04227,            0.026503,             0.01427,             0.76498,             0.77966,             0.81242,             0.52456,            0.037126,            0.015724,            0.022797,           0.0065229,           0.0065229,            0.034023
                  66,            0.039194,            0.027889,            0.012603,             0.64495,             0.78107,             0.76136,             0.47793,            0.041933,            0.015471,             0.01966,           0.0065999,           0.0065999,               0.033
                  67,            0.037341,            0.026713,            0.011992,              0.7268,               0.743,             0.79268,              0.4709,            0.043598,            0.015441,            0.023041,            0.006676,            0.006676,            0.031976
                  68,            0.042433,            0.026744,            0.011954,             0.77135,             0.76088,             0.78588,              0.5119,            0.038156,            0.016107,            0.023602,           0.0067511,           0.0067511,            0.030951
                  69,             0.04024,            0.024555,            0.012707,             0.74042,             0.68078,             0.74484,             0.52464,            0.041901,            0.015139,            0.023824,           0.0068253,           0.0068253,            0.029925
                  70,            0.039229,            0.024622,            0.011525,             0.86853,             0.68211,             0.79801,             0.51925,            0.036969,            0.015536,            0.028507,           0.0068984,           0.0068984,            0.028898
                  71,             0.03597,            0.025191,            0.013952,              0.7412,              0.7478,             0.77397,             0.50724,            0.043102,             0.01585,             0.02277,           0.0069706,           0.0069706,            0.027871
                  72,            0.042121,            0.024896,            0.013782,             0.83804,             0.68593,             0.79428,             0.53059,            0.038131,             0.01558,            0.021689,           0.0070418,           0.0070418,            0.026842
                  73,            0.039146,            0.024626,            0.010187,             0.69748,             0.86651,             0.82845,             0.54025,              0.0419,            0.014594,            0.015762,           0.0071121,           0.0071121,            0.025812
                  74,            0.036158,            0.025618,            0.011083,              0.7476,             0.72702,             0.77396,             0.54191,            0.036568,            0.014032,             0.02343,           0.0071813,           0.0071813,            0.024781
                  75,            0.038023,            0.025441,            0.010802,             0.70751,              0.8172,              0.7849,             0.54966,            0.040068,            0.014623,            0.020894,           0.0072495,           0.0072495,            0.023749
                  76,            0.039849,            0.025258,           0.0099072,             0.58638,             0.81075,             0.74804,             0.41397,            0.040227,            0.015143,            0.019913,           0.0073166,           0.0073166,            0.022717
                  77,            0.039756,            0.025089,            0.010675,             0.73503,             0.84127,             0.81859,             0.52639,            0.041594,            0.015567,            0.019421,           0.0073828,           0.0073828,            0.021683
                  78,            0.043413,            0.029042,            0.011695,             0.68479,             0.82801,             0.79733,             0.50698,            0.042546,            0.016069,            0.023597,           0.0074478,           0.0074478,            0.020648
                  79,            0.042786,            0.027843,            0.011378,             0.79119,             0.68959,             0.78932,             0.54683,            0.038616,            0.016467,            0.023249,           0.0075119,           0.0075119,            0.019612
                  80,            0.036096,            0.025027,            0.013202,             0.63521,             0.76378,              0.7627,             0.52302,            0.040688,            0.015522,            0.022173,           0.0075749,           0.0075749,            0.018575
                  81,            0.037587,            0.024816,            0.010227,             0.82852,             0.75138,             0.82998,             0.55824,            0.039836,            0.016248,            0.020139,           0.0076368,           0.0076368,            0.017537
                  82,            0.037337,            0.027034,            0.010923,             0.78244,              0.7707,             0.79303,             0.46939,            0.039313,            0.016145,            0.022516,           0.0076976,           0.0076976,            0.016498
                  83,            0.041405,            0.025425,            0.014711,             0.63651,             0.68759,             0.72109,             0.46963,            0.039966,            0.016298,            0.029511,           0.0077574,           0.0077574,            0.015457
                  84,            0.036706,            0.024555,            0.010858,             0.71707,              0.7592,             0.75073,              0.5219,            0.036724,              0.0154,            0.022897,           0.0078161,           0.0078161,            0.014416
                  85,            0.035673,            0.027761,              0.0115,             0.73882,             0.69834,             0.72365,             0.49398,            0.042123,            0.015554,            0.026055,           0.0078737,           0.0078737,            0.013374
                  86,            0.038647,            0.026311,            0.011671,             0.63548,             0.71777,             0.69179,             0.37215,            0.041977,            0.015709,            0.026814,           0.0079302,           0.0079302,             0.01233
                  87,              0.0411,            0.025807,           0.0098087,             0.76602,             0.68263,             0.77478,             0.50694,            0.039558,            0.015478,            0.021699,           0.0079856,           0.0079856,            0.011286
                  88,            0.037068,            0.025129,           0.0098105,             0.80033,             0.69162,             0.76757,              0.5065,            0.040994,            0.016507,            0.018605,           0.0080398,           0.0080398,             0.01024
                  89,            0.038129,            0.024072,            0.011767,             0.77348,             0.62369,             0.73435,             0.49042,            0.039728,            0.015673,            0.025112,            0.008093,            0.008093,            0.009193
                  90,            0.038414,            0.027873,            0.011093,             0.63993,             0.69432,              0.6937,             0.45059,            0.037791,            0.015517,            0.027752,            0.008145,            0.008145,            0.008145
                  91,            0.038015,            0.028741,            0.012202,             0.72669,             0.69493,             0.72848,             0.48032,            0.036593,            0.015901,             0.02185,            0.008145,            0.008145,            0.008145
                  92,            0.032905,            0.026501,            0.010401,             0.77125,             0.70024,             0.73666,             0.47023,            0.039003,            0.015622,            0.022943,           0.0081068,           0.0081068,           0.0081068
                  93,            0.035955,            0.024828,           0.0088583,             0.82287,             0.74198,             0.78679,             0.54878,            0.035743,            0.015049,            0.021311,           0.0080682,           0.0080682,           0.0080682
                  94,            0.037095,            0.025476,           0.0095474,             0.68667,             0.75201,              0.7683,              0.5227,            0.038165,            0.015513,            0.029809,           0.0080294,           0.0080294,           0.0080294
                  95,            0.039843,            0.027654,           0.0090545,             0.82786,             0.67798,             0.79337,             0.55743,            0.035083,            0.015475,            0.031398,           0.0079903,           0.0079903,           0.0079903
                  96,            0.030035,            0.024192,            0.011959,              0.7574,              0.6571,             0.72173,             0.51313,            0.034114,            0.015873,            0.027561,           0.0079509,           0.0079509,           0.0079509
                  97,            0.034611,            0.024455,            0.011071,              0.7721,               0.667,             0.73881,             0.53107,            0.033034,            0.015439,            0.028746,           0.0079112,           0.0079112,           0.0079112
                  98,            0.033143,            0.024524,            0.015206,             0.71749,             0.67484,             0.74467,             0.52625,            0.035974,            0.015406,            0.028508,           0.0078713,           0.0078713,           0.0078713
                  99,            0.034177,            0.024213,            0.011444,             0.80131,             0.66197,             0.75493,             0.50196,            0.033765,            0.015555,            0.027654,           0.0078311,           0.0078311,           0.0078311
